GCF_003469635.1_ASM346963v1_genomic	1
GCF_008571435.1_ASM857143v1_genomic	2
SAMN04958300	3
SAMN04958301	3
SAMN04958302	3
SAMN04958303	3
SAMN04958304	3
SAMN04958305	3
SAMN04958306	3
SAMN04958307	3
SAMN04958308	3
SAMN04958309	3
SAMN06645327	4
GCF_003203175.1_ASM320317v1_genomic	5
GCF_900201995.1_R372_genomic	6
SAMD00015865	7
SAMN08895436	8
SAMN08895437	8
SAMN08895438	8
SAMN08895439	8
GCF_000615365.1_ASM61536v1_genomic	9
SAMN04599932	3
GCF_001349075.1_6714_4_1_genomic	6
SAMN05413859	10
SAMN05413858	10
SAMN05413853	10
SAMN05413852	10
SAMN05413851	10
SAMN05413850	10
GCF_001637565.1_ASM163756v1_genomic	11
SAMN05413856	10
SAMN05413855	10
SAMN05413854	10
SAMN04955242	12
GCF_000795505.1_AZPAE13858_genomic	13
0422_293_1_1_MRS7_S392-bin_2	14
SAMN02850699	3
SAMN02850697	3
GCF_001450825.1_WH-SGI-V-07371_genomic	13
SAMEA1031419	15
SAMEA1031418	15
SAMEA1031417	15
SAMEA1031416	15
SAMEA1031415	15
SAMEA1031414	15
SAMEA1031413	16
SAMEA1031412	15
SAMN02741503	3
SAMN04417888	3
GCF_001990335.1_ASM199033v1_genomic	13
SAMN02604342	3
SAMN03921941	17
GCF_002738185.1_ASM273818v1_genomic	18
C0140A4	19
C0140A5	19
MG_199199_bin_77	20
C0140A3	19
C0140A1	19
MG_199199_bin_78	21
GCF_004347575.1_ASM434757v1_genomic	22
0055_051_1_3_LKV3_S818-bin_1	23
GCF_001092105.1_6731_8_2_genomic	6
GCF_001454705.1_WH-SGI-V-07302_genomic	13
GCF_000401595.1_ASM40159v1_genomic	24
SAMN03800285	3
SAMEA1690324	6
SAMEA1690325	6
SAMN03800280	3
SAMN03800281	3
SAMEA1690320	6
SAMN03800283	3
SAMN03800288	3
SAMN03800289	3
SAMEA1690329	6
GCF_000027305.1_ASM2730v1_genomic	5
GCF_000554185.1_Stap_aure_M0283_V1_genomic	24
GCF_900200755.1_B245_genomic	6
GCF_000573805.1_Stap_aure_M1283_V1_genomic	24
GCF_000820805.1_PAWS136_genomic	13
SAMN02299490	10
SAMN02299491	10
SAMN02299492	10
SAMN02299493	10
SAMN02299494	10
SAMN02299495	10
SAMN02299496	10
SAMN02299497	10
SAMN02299498	10
SAMN02299499	10
GCF_003490825.1_ASM349082v1_genomic	6
GCF_000793745.1_AZPAE14920_genomic	13
GCF_000532695.1_Stap_aure_M1134_V1_genomic	24
GCF_003724715.1_INS-Nm1170_genomic	6
GCF_003494495.1_ASM349449v1_genomic	5
SAMEA1876776	16
GCF_000797345.1_AZPAE14711_genomic	13
GCF_003935225.1_ASM393522v1_genomic	18
GCF_000240665.1_ASM24066v2_genomic	6
GCF_000605805.1_Stap_aure_T83543_V1_genomic	24
SAMN03325972	25
GCF_000359965.1_Stap_aure_M0006_V1_genomic	24
SAMN09435199	10
0809_588_1_1_MRSIHK9_S788-bin_1	26
SAMN09435192	10
SAMN09435191	10
SAMN09435196	10
SAMN09435197	10
SAMN09435194	10
GCF_009024805.1_ASM902480v1_genomic	27
GCF_003060705.1_ASM306070v1_genomic	28
CM_B04_S794-bin_1	29
GCF_000549565.1_Stap_aure_M1349_V1_genomic	24
GCF_001055095.1_ASM105509v1_genomic	30
GCF_001294565.1_ASM129456v1_genomic	18
GCF_000558065.1_Stap_aure_M0607_V1_genomic	24
GCF_004368725.1_ASM436872v1_genomic	31
GCF_000548565.1_Stap_aure_M1416_V1_genomic	24
GCF_000604545.1_Stap_aure_M32669_V1_genomic	24
GCF_003496895.1_ASM349689v1_genomic	5
GCF_000607045.1_Stap_aure_W75262_V1_genomic	24
SAMN04283650	32
SAMN09631734	33
SAMN09631735	34
SAMN09631737	35
SAMN09631730	36
SAMN09631731	37
SAMN09631732	38
SAMN09631733	39
GCF_001992915.1_ASM199291v1_genomic	31
