g10_bin_3	MQ	89.50	2.13	7.69
g10_bin_1	MQ	55.17	0.00	0.00
m4_bin_1	MQ	63.34	1.87	7.14
m4_bin_3	MQ	74.20	0.45	0.00
MG_114141_bin_5	HQ	98.83	0.00	0.00
MG_114141_bin_3	MQ	82.37	0.71	0.00
MG_175476_bin_6	HQ	92.76	3.08	16.67
SRS022158_bin_1	HQ	99.01	0.09	0.00
MG_220502_bin_4	MQ	61.45	0.24	0.00
MG_220502_bin_5	MQ	56.90	0.00	0.00
MG_220502_bin_2	MQ	85.47	0.00	0.00
MG_220502_bin_9	MQ	52.27	0.00	0.00
SRS014343_bin_2	MQ	60.34	0.00	0.00
SRS014343_bin_1	MQ	72.34	1.65	0.00
SRS103938_bin_6	HQ	90.68	1.60	62.50
SRS057344_bin_4	MQ	87.61	0.82	20.00
MG_175980_bin_2	MQ	69.16	1.02	0.00
SRS012294_bin_1	HQ	98.06	0.00	0.00
BG14_bin_1	MQ	86.86	2.15	9.09
MG_205819_bin_23	MQ	65.29	2.10	0.00
MG_205819_bin_21	MQ	88.90	1.00	66.67
MG_199199_bin_70	MQ	57.74	0.06	0.00
MG_199199_bin_77	MQ	83.77	0.96	33.33
MG_205819_bin_26	HQ	93.10	2.06	28.57
MG_205819_bin_25	MQ	78.01	0.00	0.00
MG_205819_bin_24	MQ	75.89	0.16	100.00
MG_205819_bin_29	MQ	82.52	0.70	0.00
MG_199199_bin_78	MQ	53.24	0.07	100.00
SRS019989_bin_2	MQ	63.79	0.00	0.00
AC3_bin_1	HQ	98.26	0.72	25.00
SRR6747941_bin_1	MQ	60.34	0.00	0.00
AP10_bin_1	MQ	89.41	1.17	42.86
BC5_bin_1	HQ	95.23	0.15	0.00
MG_4008801239_bin_14	HQ	92.45	4.07	56.25
MG_4008801239_bin_10	HQ	90.62	0.04	100.00
MG_4008801239_bin_11	HQ	99.17	0.71	50.00
MG_4008801239_bin_13	HQ	98.36	0.35	25.00
MG_189407_bin_7	MQ	87.88	3.07	92.86
BL3_bin_1	MQ	80.47	0.08	25.00
MG_186472_bin_9	MQ	76.60	0.71	75.00
MG_1061301269_bin_1	MQ	78.18	0.09	0.00
MG_186472_bin_1	HQ	100.00	0.00	0.00
MG_186472_bin_5	MQ	53.44	1.49	0.00
MG_186472_bin_4	MQ	54.36	2.03	7.69
MG_186472_bin_6	HQ	99.74	0.08	0.00
MG_226813_bin_28	MQ	75.22	1.52	66.67
MG_1062501199_bin_2	MQ	73.77	0.57	0.00
MG_222973_bin_3	MQ	58.62	1.72	100.00
a5_bin_3	MQ	88.37	1.54	0.00
a5_bin_2	MQ	70.31	1.81	0.00
a5_bin_4	HQ	100.00	0.09	100.00
F3_bin_1	HQ	99.41	0.44	0.00
MG_185475_bin_13	MQ	77.45	2.56	0.00
MG_185475_bin_12	MQ	62.19	1.72	0.00
MG_185475_bin_10	MQ	87.59	0.00	0.00
MG_185475_bin_17	MQ	53.45	0.00	0.00
MG_185475_bin_15	HQ	94.77	1.22	33.33
MG_4006201229_bin_2	MQ	54.09	0.00	0.00
SRS012934_bin_1	MQ	78.96	1.96	12.50
SRS012934_bin_2	HQ	99.22	0.00	0.00
MG_219210_bin_1	MQ	52.60	0.78	0.00
MG_219210_bin_7	MQ	73.17	2.47	21.43
MG_219210_bin_5	MQ	56.40	2.89	20.00
BM9_bin_1	MQ	80.28	4.33	5.88
MG_4005701249_bin_28	MQ	60.34	0.00	0.00
MG_181135_bin_3	HQ	94.88	3.15	33.33
MG_181135_bin_1	MQ	55.93	0.45	100.00
MG_4005701249_bin_23	MQ	81.05	1.03	0.00
MG_4005701249_bin_20	MQ	69.31	0.94	0.00
BD5_bin_1	HQ	91.65	0.00	0.00
MG_205939_bin_6	MQ	51.46	2.63	50.00
MG_205939_bin_5	HQ	98.58	1.11	0.00
MG_205939_bin_4	MQ	81.15	1.63	33.33
MG_205939_bin_2	MQ	81.92	1.29	28.57
MG_226813_bin_7	MQ	59.65	0.00	0.00
MG_226813_bin_3	HQ	99.27	0.15	100.00
MG_226813_bin_2	HQ	97.23	0.52	50.00
MG_226813_bin_9	MQ	71.98	2.86	33.33
MG_4008501249_bin_31	MQ	68.99	2.59	50.00
MG_209048_bin_7	HQ	93.31	1.17	25.00
MG_226813_bin_11	MQ	89.02	1.80	0.00
MG_205117_bin_5	MQ	73.83	0.48	75.00
AE8_bin_7	MQ	53.48	1.31	20.00
AE8_bin_1	HQ	96.63	0.00	0.00
MG_226813_bin_17	MQ	61.84	0.48	0.00
AE8_bin_3	MQ	89.86	0.57	0.00
MG_226813_bin_19	MQ	73.72	0.19	100.00
AF13_bin_1	MQ	75.81	0.00	0.00
n3_bin_4	MQ	86.04	1.42	25.00
n3_bin_5	MQ	53.01	1.92	0.00
n3_bin_2	HQ	92.56	1.48	66.67
SRR6747985_bin_1	HQ	98.16	0.00	0.00
MG_203059_bin_10	HQ	97.63	1.66	0.00
BI2_bin_1	HQ	96.02	0.00	0.00
c8_bin_2	MQ	57.08	1.72	0.00
c8_bin_3	MQ	53.69	0.00	0.00
MG_208972_bin_12	MQ	56.32	0.00	0.00
MG_208972_bin_11	MQ	70.69	0.00	0.00
MG_208972_bin_10	MQ	74.26	0.00	0.00
BD1_bin_6	MQ	61.40	0.00	0.00
BD1_bin_1	MQ	57.08	1.15	0.00
MG_198301_bin_55	MQ	61.55	0.86	0.00
MG_198301_bin_54	MQ	81.82	2.10	0.00
MG_198301_bin_59	MQ	82.45	0.71	0.00
SRR6747955_bin_3	MQ	53.45	0.00	0.00
B2-2_bin_1	MQ	76.08	0.29	0.00
AF10_bin_4	MQ	52.65	0.49	25.00
AF10_bin_3	HQ	98.43	3.64	93.75
AF10_bin_2	HQ	95.19	1.55	25.00
AF10_bin_1	MQ	88.53	1.80	33.33
BI5_bin_2	MQ	78.07	1.16	75.00
BI5_bin_1	HQ	96.33	1.52	25.00
k5_bin_1	HQ	92.59	0.91	0.00
SRR6747967_bin_13	HQ	98.65	0.00	0.00
SRR6747967_bin_10	MQ	58.80	1.04	25.00
SRR6747967_bin_11	HQ	97.60	1.25	0.00
MG_181935_bin_2	HQ	96.82	0.88	50.00
MG_181935_bin_3	MQ	59.20	0.92	0.00
MG_181935_bin_1	HQ	98.66	2.13	80.00
a7_bin_2	MQ	67.84	0.88	100.00
FA10_bin_1	HQ	90.32	3.76	11.76
SRS052756_bin_1	MQ	63.79	0.00	0.00
SRS065347_bin_2	MQ	50.57	0.00	0.00
SRS065347_bin_1	MQ	52.37	0.00	0.00
MG_203187_bin_2	HQ	92.09	1.16	16.67
MG_203187_bin_3	MQ	51.73	2.00	40.00
MG_203187_bin_1	MQ	52.85	0.32	0.00
BB10_bin_2	MQ	55.34	0.00	0.00
MG_206958_bin_7	MQ	53.20	0.00	0.00
BB10_bin_1	MQ	75.99	3.08	11.11
MG_189662_bin_3	MQ	89.53	0.34	0.00
MG_189662_bin_8	MQ	72.73	0.13	100.00
A3_bin_3	MQ	54.67	0.16	0.00
A3_bin_1	HQ	99.39	0.68	50.00
A3_bin_6	MQ	57.49	0.43	0.00
A3_bin_5	MQ	62.76	0.00	0.00
MG_185251_bin_8	MQ	75.48	0.00	0.00
MG_185251_bin_6	MQ	70.81	1.98	10.00
MG_185251_bin_4	MQ	50.20	0.00	0.00
MG_185251_bin_2	MQ	56.25	0.00	0.00
MG_185251_bin_1	MQ	51.40	0.17	0.00
MG_199199_bin_46	MQ	78.67	0.17	0.00
MG_199199_bin_47	MQ	72.33	4.19	5.56
MG_205819_bin_15	MQ	59.37	2.02	100.00
MG_199199_bin_42	HQ	93.27	1.12	40.00
MG_199199_bin_43	HQ	96.03	0.00	0.00
MG_199199_bin_40	HQ	94.12	1.17	10.00
MG_205819_bin_18	MQ	86.41	0.07	0.00
MG_177947_bin_4	HQ	96.14	4.71	20.00
MG_177947_bin_5	MQ	88.52	1.32	40.00
MG_175260_bin_18	MQ	63.94	3.23	0.00
