SGB516	GCF_003469635.1_ASM346963v1_genomic	s__Parabacteroides_merdae-t__SGB1949
SGB517	GCF_008571435.1_ASM857143v1_genomic	s__Bacteroides_finegoldii-t__SGB1862
SGB401	SAMN04958300	s__Listeria_monocytogenes-t__SGB7534
SGB506	SAMN06645327	s__Staphylococcus_lugdunensis-t__SGB7850
SGB511	GCF_003203175.1_ASM320317v1_genomic	s__Haemophilus_influenzae-t__SGB9648
SGB513	GCF_900201995.1_R372_genomic	s__Neisseria_meningitidis-t__SGB9461
SGB514	SAMD00015865	s__Prevotella_corporis-t__SGB1504
SGB232	SAMN08895436	s__Aerococcus_urinae-t__SGB7892
SGB391	GCF_000615365.1_ASM61536v1_genomic	s__Lactobacillus_sakei-t__SGB7248
SGB603	SAMN05413859	s__Enterococcus_faecium-t__SGB7967
SGB604	GCF_001637565.1_ASM163756v1_genomic	s__Janibacter_melonis-t__SGB16015
SGB602	SAMN04955242	s__Lactococcus_lactis-t__SGB7984
SGB359	GCF_000795505.1_AZPAE13858_genomic	s__Pseudomonas_aeruginosa-t__SGB12320
SGB601	SAMEA1031419	s__Streptococcus_agalactiae-t__SGB8216
SGB598	SAMEA1031413	s__Streptococcus_pyogenes-t__SGB8218
SGB599	SAMN03921941	s__Bacteroides_fragilis-t__SGB1855
SGB597	GCF_002738185.1_ASM273818v1_genomic	s__Serratia_marcescens-t__SGB10251
SGB001	C0140A4	s__Lactobacillus_gasseri-t__SGB7039
SGB181	MG_199199_bin_78	new_SGB
SGB180	GCF_004347575.1_ASM434757v1_genomic	s__Bacteroides_dorei-t__SGB1815
SGB185	GCF_000401595.1_ASM40159v1_genomic	s__Staphylococcus_aureus-t__SGB7852
SGB184	SAMN03325972	s__Citrobacter_freundii-t__SGB10083
SGB183	GCF_009024805.1_ASM902480v1_genomic	s__Bacteroides_stercoris-t__SGB1830
SGB178	GCF_003060705.1_ASM306070v1_genomic	s__Lactobacillus_brevis-t__SGB7196
SGB342	GCF_001055095.1_ASM105509v1_genomic	s__Haemophilus_parainfluenzae-t__SGB9701
SGB343	GCF_004368725.1_ASM436872v1_genomic	s__Burkholderia_cenocepacia-t__SGB13000
SGB344	SAMN04283650	s__Bacillus_subtilis-t__SGB7788
SGB345	SAMN09631734	s__Streptococcus_mitis-t__SGB8196
