Varibaculum_cambriense-SGB190	South_Africa	0
Varibaculum_cambriense-SGB190	overlap	0
Varibaculum_cambriense-SGB190	other	0
Varibaculum_cambriense-SGB190	total	697
Varibaculum_cambriense-SGB190	ref	159
Varibaculum_cambriense-SGB190	North_America	538
Faecalibacterium_prausnitzii-SGB639	South_Africa	0
Faecalibacterium_prausnitzii-SGB639	overlap	0
Faecalibacterium_prausnitzii-SGB639	other	0
Faecalibacterium_prausnitzii-SGB639	total	905
Faecalibacterium_prausnitzii-SGB639	ref	905
Faecalibacterium_prausnitzii-SGB639	North_America	0
Haemophilus_parainfluenzae-SGB30	South_Africa	0
Haemophilus_parainfluenzae-SGB30	overlap	0
Haemophilus_parainfluenzae-SGB30	other	0
Haemophilus_parainfluenzae-SGB30	total	682
Haemophilus_parainfluenzae-SGB30	ref	682
Haemophilus_parainfluenzae-SGB30	North_America	0
Akkermansia_muciniphila-SGB51	South_Africa	0
Akkermansia_muciniphila-SGB51	overlap	0
Akkermansia_muciniphila-SGB51	other	0
Akkermansia_muciniphila-SGB51	total	1038
Akkermansia_muciniphila-SGB51	ref	1038
Akkermansia_muciniphila-SGB51	North_America	0
Megasphaera_sp_NM10-SGB531	South_Africa	0
Megasphaera_sp_NM10-SGB531	overlap	0
Megasphaera_sp_NM10-SGB531	other	0
Megasphaera_sp_NM10-SGB531	total	1097
Megasphaera_sp_NM10-SGB531	ref	1097
Megasphaera_sp_NM10-SGB531	North_America	0
Lactobacillus_gasseri-SGB91	South_Africa	17
Lactobacillus_gasseri-SGB91	overlap	15
Lactobacillus_gasseri-SGB91	other	0
Lactobacillus_gasseri-SGB91	total	701
Lactobacillus_gasseri-SGB91	ref	115
Lactobacillus_gasseri-SGB91	North_America	554
Veillonella_parvula-SGB268	South_Africa	0
Veillonella_parvula-SGB268	overlap	0
Veillonella_parvula-SGB268	other	0
Veillonella_parvula-SGB268	total	1070
Veillonella_parvula-SGB268	ref	1070
Veillonella_parvula-SGB268	North_America	0
Streptococcus_pseudopneumoniae-SGB214	South_Africa	0
Streptococcus_pseudopneumoniae-SGB214	overlap	0
Streptococcus_pseudopneumoniae-SGB214	other	0
Streptococcus_pseudopneumoniae-SGB214	total	394
Streptococcus_pseudopneumoniae-SGB214	ref	394
Streptococcus_pseudopneumoniae-SGB214	North_America	0
Haemophilus_parainfluenzae-SGB420	South_Africa	0
Haemophilus_parainfluenzae-SGB420	overlap	0
Haemophilus_parainfluenzae-SGB420	other	0
